Year,Country,Region,CO2_Emissions_Mt,Temperature_Anomaly_C,Sea_Level_Rise_mm,Arctic_Ice_Extent_Mkm2,Renewable_Energy_Pct,Forest_Cover_Pct,Climate_Policy_Index,Extreme_Weather_Events,Research_Funding_MUSD,AI_Climate_Projects,Notes
2020,United States,North America,5000,1.3,95,4.2,18.5,33.9,6.8,22,12000,340,"Annual climate assessment for United States, 2020"
2020,China,East Asia,11500,1.5,90,4.1,28.3,22.3,5.5,15,8500,520,"Annual climate assessment for China, 2020"
2020,India,South Asia,2700,1.4,85,3.9,23.1,24.6,4.2,35,3200,280,"Annual climate assessment for India, 2020"
2020,Germany,Europe,670,1.2,88,3.8,46.2,32.7,8.9,12,5400,195,"Annual climate assessment for Germany, 2020"
2020,Brazil,South America,490,1.3,87,4.0,44.8,59.4,5.1,18,1200,145,"Annual climate assessment for Brazil, 2020"
2020,Japan,East Asia,1050,1.1,92,3.7,22.7,68.5,7.3,28,4800,230,"Annual climate assessment for Japan, 2020"
2020,Russia,Europe/Asia,1700,2.1,82,3.5,17.5,49.8,3.1,14,900,65,"Annual climate assessment for Russia, 2020"
2020,Indonesia,Southeast Asia,620,1.2,84,3.6,13.2,49.1,3.8,42,450,78,"Annual climate assessment for Indonesia, 2020"
2020,UK,Europe,330,0.9,91,3.4,42.1,13.2,8.7,16,3200,185,"Annual climate assessment for UK, 2020"
2020,Canada,North America,580,1.8,89,3.3,29.7,38.2,5.9,20,2100,130,"Annual climate assessment for Canada, 2020"
2020,Australia,Oceania,400,1.4,86,3.2,32.5,17.4,5.4,38,1600,95,"Annual climate assessment for Australia, 2020"
2020,France,Europe,300,1.1,93,3.1,24.8,31.7,7.8,11,2900,160,"Annual climate assessment for France, 2020"
2020,South Korea,East Asia,630,1.0,94,3.0,7.8,63.5,6.9,19,3500,210,"Annual climate assessment for South Korea, 2020"
2020,Nigeria,Africa,130,1.3,83,2.9,18.2,23.4,2.1,48,250,45,"Annual climate assessment for Nigeria, 2020"
2020,Mexico,North America,420,1.2,88,2.8,21.6,33.9,4.3,32,780,72,"Annual climate assessment for Mexico, 2020"
2021,United States,North America,5100,1.34,95,3.9,21.0,33.9,6.8,25,13799,425,"Annual climate assessment for United States, 2021"
2021,China,East Asia,11730,1.54,90,3.8,30.8,22.3,5.5,18,9775,650,"Annual climate assessment for China, 2021"
2021,India,South Asia,2754,1.44,85,3.6,25.6,24.6,4.2,38,3679,350,"Annual climate assessment for India, 2021"
2021,Germany,Europe,683,1.24,88,3.5,48.7,32.7,8.9,15,6209,243,"Annual climate assessment for Germany, 2021"
2021,Brazil,South America,499,1.34,87,3.7,47.3,59.4,5.1,21,1380,181,"Annual climate assessment for Brazil, 2021"
2021,Japan,East Asia,1071,1.14,92,3.4,25.2,68.5,7.3,31,5520,287,"Annual climate assessment for Japan, 2021"
2021,Russia,Europe/Asia,1734,2.14,82,3.2,20.0,49.8,3.1,17,1035,81,"Annual climate assessment for Russia, 2021"
2021,Indonesia,Southeast Asia,632,1.24,84,3.3,15.7,49.1,3.8,45,517,97,"Annual climate assessment for Indonesia, 2021"
2021,UK,Europe,336,0.94,91,3.1,44.6,13.2,8.7,19,3679,231,"Annual climate assessment for UK, 2021"
2021,Canada,North America,591,1.84,89,3.0,32.2,38.2,5.9,23,2415,162,"Annual climate assessment for Canada, 2021"
2021,Australia,Oceania,408,1.44,86,2.9,35.0,17.4,5.4,41,1839,118,"Annual climate assessment for Australia, 2021"
2021,France,Europe,306,1.14,93,2.8,27.3,31.7,7.8,14,3334,200,"Annual climate assessment for France, 2021"
2021,South Korea,East Asia,642,1.04,94,2.7,10.3,63.5,6.9,22,4024,262,"Annual climate assessment for South Korea, 2021"
2021,Nigeria,Africa,132,1.34,83,2.6,20.7,23.4,2.1,51,287,56,"Annual climate assessment for Nigeria, 2021"
2021,Mexico,North America,428,1.24,88,2.5,24.1,33.9,4.3,35,896,90,"Annual climate assessment for Mexico, 2021"
2022,United States,North America,5200,1.38,95,3.6,23.5,33.9,6.8,28,15600,510,"Annual climate assessment for United States, 2022"
2022,China,East Asia,11960,1.58,90,3.5,33.3,22.3,5.5,21,11050,780,"Annual climate assessment for China, 2022"
2022,India,South Asia,2808,1.48,85,3.3,28.1,24.6,4.2,41,4160,420,"Annual climate assessment for India, 2022"
2022,Germany,Europe,696,1.28,88,3.2,51.2,32.7,8.9,18,7020,292,"Annual climate assessment for Germany, 2022"
2022,Brazil,South America,509,1.38,87,3.4,49.8,59.4,5.1,24,1560,217,"Annual climate assessment for Brazil, 2022"
2022,Japan,East Asia,1092,1.18,92,3.1,27.7,68.5,7.3,34,6240,345,"Annual climate assessment for Japan, 2022"
2022,Russia,Europe/Asia,1768,2.18,82,2.9,22.5,49.8,3.1,20,1170,97,"Annual climate assessment for Russia, 2022"
2022,Indonesia,Southeast Asia,644,1.28,84,3.0,18.2,49.1,3.8,48,585,117,"Annual climate assessment for Indonesia, 2022"
2022,UK,Europe,343,0.98,91,2.8,47.1,13.2,8.7,22,4160,277,"Annual climate assessment for UK, 2022"
2022,Canada,North America,603,1.88,89,2.7,34.7,38.2,5.9,26,2730,195,"Annual climate assessment for Canada, 2022"
2022,Australia,Oceania,416,1.48,86,2.6,37.5,17.4,5.4,44,2080,142,"Annual climate assessment for Australia, 2022"
2022,France,Europe,312,1.18,93,2.5,29.8,31.7,7.8,17,3770,240,"Annual climate assessment for France, 2022"
2022,South Korea,East Asia,655,1.08,94,2.4,12.8,63.5,6.9,25,4550,315,"Annual climate assessment for South Korea, 2022"
2022,Nigeria,Africa,135,1.38,83,2.3,23.2,23.4,2.1,54,325,67,"Annual climate assessment for Nigeria, 2022"
2022,Mexico,North America,436,1.28,88,2.2,26.6,33.9,4.3,38,1014,108,"Annual climate assessment for Mexico, 2022"
2023,United States,North America,5300,1.42,95,3.3,26.0,33.9,6.8,31,17400,595,"Annual climate assessment for United States, 2023"
2023,China,East Asia,12190,1.62,90,3.2,35.8,22.3,5.5,24,12325,910,"Annual climate assessment for China, 2023"
2023,India,South Asia,2862,1.52,85,3.0,30.6,24.6,4.2,44,4640,490,"Annual climate assessment for India, 2023"
2023,Germany,Europe,710,1.32,88,2.9,53.7,32.7,8.9,21,7830,341,"Annual climate assessment for Germany, 2023"
2023,Brazil,South America,519,1.42,87,3.1,52.3,59.4,5.1,27,1740,253,"Annual climate assessment for Brazil, 2023"
2023,Japan,East Asia,1113,1.22,92,2.8,30.2,68.5,7.3,37,6960,402,"Annual climate assessment for Japan, 2023"
2023,Russia,Europe/Asia,1802,2.22,82,2.6,25.0,49.8,3.1,23,1305,113,"Annual climate assessment for Russia, 2023"
2023,Indonesia,Southeast Asia,657,1.32,84,2.7,20.7,49.1,3.8,51,652,136,"Annual climate assessment for Indonesia, 2023"
2023,UK,Europe,349,1.02,91,2.5,49.6,13.2,8.7,25,4640,323,"Annual climate assessment for UK, 2023"
2023,Canada,North America,614,1.92,89,2.4,37.2,38.2,5.9,29,3045,227,"Annual climate assessment for Canada, 2023"
2023,Australia,Oceania,424,1.52,86,2.3,40.0,17.4,5.4,47,2320,166,"Annual climate assessment for Australia, 2023"
2023,France,Europe,318,1.22,93,2.2,32.3,31.7,7.8,20,4205,280,"Annual climate assessment for France, 2023"
2023,South Korea,East Asia,667,1.12,94,2.1,15.3,63.5,6.9,28,5075,367,"Annual climate assessment for South Korea, 2023"
2023,Nigeria,Africa,137,1.42,83,2.0,25.7,23.4,2.1,57,362,78,"Annual climate assessment for Nigeria, 2023"
2023,Mexico,North America,445,1.32,88,1.9,29.1,33.9,4.3,41,1131,126,"Annual climate assessment for Mexico, 2023"
2024,United States,North America,5400,1.46,95,3.0,28.5,33.9,6.8,34,19200,680,"Annual climate assessment for United States, 2024. Latest."
2024,China,East Asia,12420,1.66,90,2.9,38.3,22.3,5.5,27,13600,1040,"Annual climate assessment for China, 2024. Latest."
2024,India,South Asia,2916,1.56,85,2.7,33.1,24.6,4.2,47,5120,560,"Annual climate assessment for India, 2024. Latest."
2024,Germany,Europe,723,1.36,88,2.6,56.2,32.7,8.9,24,8640,390,"Annual climate assessment for Germany, 2024. Latest."
2024,Brazil,South America,529,1.46,87,2.8,54.8,59.4,5.1,30,1920,290,"Annual climate assessment for Brazil, 2024. Latest."
2024,Japan,East Asia,1134,1.26,92,2.5,32.7,68.5,7.3,40,7680,460,"Annual climate assessment for Japan, 2024. Latest."
2024,Russia,Europe/Asia,1836,2.26,82,2.3,27.5,49.8,3.1,26,1440,130,"Annual climate assessment for Russia, 2024. Latest."
2024,Indonesia,Southeast Asia,669,1.36,84,2.4,23.2,49.1,3.8,54,720,156,"Annual climate assessment for Indonesia, 2024. Latest."
2024,UK,Europe,356,1.06,91,2.2,52.1,13.2,8.7,28,5120,370,"Annual climate assessment for UK, 2024. Latest."
2024,Canada,North America,626,1.96,89,2.1,39.7,38.2,5.9,32,3360,260,"Annual climate assessment for Canada, 2024. Latest."
2024,Australia,Oceania,432,1.56,86,2.0,42.5,17.4,5.4,50,2560,190,"Annual climate assessment for Australia, 2024. Latest."
2024,France,Europe,324,1.26,93,1.9,34.8,31.7,7.8,23,4640,320,"Annual climate assessment for France, 2024. Latest."
2024,South Korea,East Asia,680,1.16,94,1.8,17.8,63.5,6.9,31,5600,420,"Annual climate assessment for South Korea, 2024. Latest."
2024,Nigeria,Africa,140,1.46,83,1.7,28.2,23.4,2.1,60,400,90,"Annual climate assessment for Nigeria, 2024. Latest."
2024,Mexico,North America,453,1.36,88,1.6,31.6,33.9,4.3,44,1248,144,"Annual climate assessment for Mexico, 2024. Latest."
